Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,0.949600,0.955500,0.948700,0.949940,0.949940,0
2017-01-03,0.956100,0.966400,0.953100,0.956020,0.956020,0
2017-01-04,0.959840,0.962340,0.954300,0.959700,0.959700,0
2017-01-05,0.952500,0.953600,0.942600,0.952300,0.952300,0
2017-01-06,0.942900,0.948800,0.942600,0.942870,0.942870,0
2017-01-09,0.949300,0.951160,0.946900,0.949500,0.949500,0
2017-01-10,0.944500,0.946800,0.941100,0.944410,0.944410,0
2017-01-11,0.947500,0.956300,0.946300,0.947650,0.947650,0
2017-01-12,0.943700,0.945600,0.935800,0.943600,0.943600,0
2017-01-13,0.941800,0.943396,0.937400,0.941900,0.941900,0
2017-01-16,0.941010,0.945060,0.940430,0.940850,0.940850,0
2017-01-17,0.943050,0.943270,0.933010,0.943130,0.943130,0
2017-01-18,0.934770,0.938120,0.933300,0.934860,0.934860,0
2017-01-19,0.940780,0.944310,0.936610,0.940930,0.940930,0
2017-01-20,0.937970,0.941020,0.935000,0.938110,0.938110,0
2017-01-23,0.933580,0.933850,0.929700,0.933380,0.933380,0
2017-01-24,0.929580,0.932160,0.928260,0.929300,0.929300,0
2017-01-25,0.932150,0.933520,0.928610,0.932080,0.932080,0
2017-01-26,0.929800,0.937150,0.928800,0.930060,0.930060,0
2017-01-27,0.936080,0.938040,0.932420,0.936070,0.936070,0
2017-01-30,0.932910,0.941540,0.931070,0.933360,0.933360,0
2017-01-31,0.933960,0.935800,0.925040,0.933830,0.933830,0
2017-02-01,0.925700,0.931150,0.925200,0.925600,0.925600,0
2017-02-02,0.928640,0.928640,0.923650,0.928730,0.928730,0
2017-02-03,0.929080,0.932060,0.926170,0.929220,0.929220,0
2017-02-06,0.927350,0.934000,0.926880,0.927390,0.927390,0
2017-02-07,0.930820,0.938370,0.930800,0.930820,0.930820,0
2017-02-08,0.936420,0.939660,0.933930,0.936500,0.936500,0
2017-02-09,0.935270,0.938320,0.933700,0.935260,0.935260,0
2017-02-10,0.938360,0.942520,0.937300,0.938210,0.938210,0
2017-02-13,0.941680,0.943980,0.938260,0.941660,0.941660,0
2017-02-14,0.943470,0.946810,0.940450,0.943530,0.943530,0
2017-02-15,0.945300,0.950380,0.944470,0.945330,0.945330,0
2017-02-16,0.943230,0.943350,0.936790,0.942740,0.942740,0
2017-02-17,0.937470,0.941100,0.936600,0.937010,0.937010,0
2017-02-20,0.941020,0.942930,0.940600,0.941030,0.941030,0
2017-02-21,0.942480,0.949970,0.942280,0.942560,0.942560,0
2017-02-22,0.948570,0.952670,0.947310,0.948580,0.948580,0
2017-02-23,0.947710,0.948860,0.943840,0.947500,0.947500,0
2017-02-24,0.944760,0.946410,0.941790,0.944780,0.944780,0
2017-02-27,0.947610,0.947610,0.942100,0.947620,0.947620,0
2017-02-28,0.944930,0.945480,0.941000,0.944800,0.944800,0
2017-03-01,0.946140,0.951000,0.944460,0.946150,0.946150,0
2017-03-02,0.949100,0.952340,0.948300,0.949140,0.949140,0
2017-03-03,0.951610,0.952060,0.945740,0.951500,0.951500,0
2017-03-06,0.941730,0.945340,0.940020,0.941580,0.941580,0
2017-03-07,0.945070,0.946900,0.943040,0.945250,0.945250,0
2017-03-08,0.946170,0.949010,0.945600,0.946060,0.946060,0
2017-03-09,0.948400,0.950060,0.942150,0.948100,0.948100,0
2017-03-10,0.945060,0.945060,0.937290,0.945320,0.945320,0
